Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
D , 686 , -49 , -81 , -1953
D , 687 , -54 , -4 , -1263
D , 688 , -53 , 2 , -1002
D , 689 , -54 , -8 , -1158
D , 690 , -51 , 52 , -1393
D , 691 , -44 , 77 , -830
D , 692 , -39 , 25 , -258
D , 693 , -39 , 0 , -581
D , 694 , -39 , -9 , -933
D , 695 , -40 , -10 , -1280
D , 696 , -40 , 16 , -938
D , 697 , -36 , 47 , -229
D , 698 , -33 , 11 , -1024
D , 699 , -31 , 36 , -646
D , 700 , -28 , 30 , -296
D , 701 , -25 , 14 , -852
D , 702 , -21 , 65 , -543
D , 703 , -16 , 46 , 560
D , 704 , -14 , 6 , -483
D , 705 , -13 , 26 , 81
D , 706 , -12 , -3 , 392
D , 707 , -14 , -13 , -842
D , 708 , -12 , 40 , -677
D , 709 , -9 , 15 , 129
D , 710 , -10 , -18 , -679
D , 711 , -9 , 16 , -354
D , 712 , -9 , -23 , 359
D , 713 , -12 , -19 , -847
D , 714 , -11 , 7 , -4
D , 715 , -12 , -35 , 368
D , 716 , -15 , -13 , 105
D , 717 , -14 , 15 , -299
D , 718 , -14 , -8 , 325
D , 719 , -15 , 16 , 2
D , 720 , -11 , 48 , 78
D , 721 , -5 , 47 , 380
D , 722 , -1 , 39 , 495
D , 723 , 3 , 60 , 782
D , 724 , 9 , 48 , 854
D , 725 , 13 , 33 , 603
D , 726 , 18 , 62 , 777
D , 727 , 25 , 75 , 1036
D , 728 , 33 , 72 , 978
D , 729 , 41 , 84 , 921
D , 730 , 50 , 84 , 1215
D , 731 , 58 , 77 , 1275
D , 732 , 64 , 72 , 1294
D , 733 , 73 , 73 , 1357
D , 734 , 80 , 84 , 1359
D , 735 , 89 , 89 , 1601
D , 736 , 96 , 61 , 1704
D , 737 , 100 , 25 , 1519
D , 738 , 100 , -18 , 1172
D , 739 , 98 , -27 , 1000
D , 740 , 95 , -26 , 873
D , 741 , 92 , -48 , 775
D , 742 , 86 , -65 , 639
D , 743 , 78 , -106 , 1002
D , 744 , 65 , -144 , 682
D , 745 , 49 , -173 , 232
D , 746 , 31 , -204 , 186
D , 747 , 8 , -256 , 26
D , 748 , -18 , -223 , -804
D , 749 , -33 , -92 , -1213
D , 750 , -34 , 44 , -945
D , 751 , -23 , 151 , -469
D , 752 , -3 , 204 , 390
D , 753 , 17 , 208 , 679
D , 754 , 35 , 184 , 658
D , 755 , 53 , 176 , 859
D , 756 , 68 , 126 , 1002
D , 757 , 77 , 61 , 904
D , 758 , 80 , 9 , 1108
D , 759 , 79 , -31 , 777
D , 760 , 73 , -77 , 485
D , 761 , 64 , -97 , 574
D , 762 , 52 , -123 , 308
D , 763 , 41 , -108 , -323
D , 764 , 31 , -82 , -543
D , 765 , 27 , -15 , -71
D , 766 , 25 , -14 , 256
D , 767 , 25 , -4 , -459
D , 768 , 26 , 30 , -275
D , 769 , 30 , 22 , 806
D , 770 , 32 , 5 , -59
D , 771 , 31 , -4 , -423
D , 772 , 33 , 16 , 126
D , 773 , 32 , -36 , 160
D , 774 , 28 , -49 , -234
D , 775 , 25 , -38 , 239
D , 776 , 19 , -78 , 210
D , 777 , 9 , -83 , -1172
D , 778 , 6 , -14 , -440
D , 779 , 2 , -66 , 349
D , 780 , -5 , -74 , -694
D , 781 , -8 , -13 , -509
D , 782 , -11 , -48 , 385
D , 783 , -18 , -68 , -1072
